Genre,Platform,Gender,Age,How Often,Hours Watching
Family,Netflix,Female,17,Daily,4.5
Comedy,Netflix,Male,17,Often,2
Comedy,Youtube Tv,Male,18,Often,3
Action,Netflix,Male,18,Monthly,1.5
Horror,Movie Theaters,Male,17,Monthly,2
Comedy,Youtube,Female,17,Often,3
Comedy,Netflix,Female,19,Rarely,0.5
Action,Movie Theaters,Male,17,Rarely,0.5
Action,Movie Theaters,Male,18,2 Weeks,2
Action,Netflix,Fluid,17,Daily,1
Sci-Fi,Netflix,Male,31,Daily,3.5
Adventure,Netflix,Male,58,Often,1
Comedy,123Movies,Male,18,Often,4
Horror,Netflix,Female,17,Often,2
